,,,ニーズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fact,なぜ,,新しい住まい・生活立ち上げ,新婚家族一人の生活スタート,家計・固定費の再整理,新しい車の購入,ドライブ・小旅行,区切り・リセットの時間,新たな移動手段の探索（自転車、電車）,駐車場の探索,新規収入スキーム,他の中古品の売却,運転練習・免許取得,新しい不動産・ものの購入,短期間だけ　の車の利用サービス,高級車に載りたい,今の生活の負担を下げたい,安く車を借りたい,リース契約で出費を抑えて車に乗りたい,自動車保険の出費を抑えたい,遺産手続き（遺品整理、相続税の手続き、不用品の整理）,"海外の引っ越しの手配
現地でのレンタカーリース契約",車以外の固定費の削減（通信費、食費、サブスクリプション）,直面している金銭的問題の解決（支払い・投資）,仕事に必要な備品の準備、通勤スタイルの確立,通院の利便性確保、バリアフリー化、介護サービスの利用,運転に頼らない生活圏の再構築、買い物難民の対策,放置車両の再発防止と空きスペースの収益化,社用車を処分し、オフィススペースの有効活用,社用車を処分したリモート環境の整備,事故ゼロの仕組みづくり、運転の可視化、保険料の削減
,物理的問題,駐車場がない,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,需要的問題,交通手段として不要になったから,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,金銭的問題,家賃・駐車場が高くてお金がないから,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,金銭的問題,新しい車を買うための資金にしたい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,物理的問題,新しい車の納車までに場所を開けたい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,金銭的がメイン？需要的ではある,車が二台になり、不要なので1台売る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,金銭的問題,急にまとまった資金が必要,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,金銭的問題,生活コストを見直したい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,物理的問題,持ち主がいなくなったので売る,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,物理的問題,車に乗れなくなったので,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,物理的問題,免許返納と同時に車を売りたい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,金銭的問題,維持費を確保できないので売った,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,価値・金銭的問題,事故を起こすのであれば乗りたくない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,需要的問題,不要な車を処分したい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,物理的問題,旧式車両を処分したい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,車が壊れたので売った。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,車が古いので売った。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
